sample,epoch_seconds,rss_kb,cpu_percent,cpu_time
0,1786303030.414808,226128,100.0,0:04.71
1,1786303030.533065,229104,99.4,0:04.83
2,1786303030.654220,232016,99.6,0:04.95
3,1786303030.777439,234688,99.6,0:05.07
4,1786303030.891702,238432,99.5,0:05.18
5,1786303031.014762,242240,99.2,0:05.31
6,1786303031.132782,244880,99.7,0:05.42
7,1786303031.250754,248736,99.6,0:05.54
8,1786303031.373806,252288,99.6,0:05.66
9,1786303031.488862,254528,100.0,0:05.78
10,1786303031.603965,257744,100.0,0:05.89
11,1786303031.728350,260192,99.1,0:06.02
12,1786303031.849194,263616,99.1,0:06.14
13,1786303032.012011,266032,99.3,0:06.22
14,1786303032.170004,266048,54.1,0:06.23
15,1786303032.373493,266512,43.9,0:06.28
16,1786303032.527389,266256,28.3,0:06.32
17,1786303032.669520,268224,46.7,0:06.44
18,1786303032.808213,269600,66.8,0:06.59
19,1786303032.942251,270448,78.5,0:06.72
20,1786303033.077060,272480,86.6,0:06.85
21,1786303033.211734,274768,90.5,0:06.99
22,1786303033.338654,276944,94.4,0:07.12
23,1786303033.468788,278768,96.2,0:07.25
24,1786303033.601283,280800,97.6,0:07.38
25,1786303033.729464,283184,98.4,0:07.51
26,1786303033.857607,285632,98.9,0:07.64
27,1786303033.991749,287536,99.2,0:07.77
28,1786303034.125966,289120,99.5,0:07.90
29,1786303034.259485,291440,99.8,0:08.03
30,1786303034.397320,293520,99.5,0:08.17
31,1786303034.545379,294944,99.5,0:08.31
32,1786303034.695188,295824,99.8,0:08.45
33,1786303034.853088,297184,99.2,0:08.61
34,1786303035.021013,298080,97.7,0:08.76
35,1786303035.460378,300240,66.8,0:08.90
36,1786303035.917513,301328,20.7,0:08.97
37,1786303036.259403,302224,31.3,0:09.09
38,1786303036.542367,303664,38.6,0:09.23
39,1786303036.765085,304080,39.2,0:09.34
40,1786303036.944887,304528,56.6,0:09.49
41,1786303037.113635,200816,63.9,0:09.65
42,1786303037.273306,199952,119.2,0:09.94
43,1786303037.427839,200016,137.5,0:10.22
44,1786303037.582138,200064,151.8,0:10.48
45,1786303037.758308,200080,160.3,0:10.70
46,1786303037.925578,200080,140.0,0:10.92
47,1786303038.104000,200112,134.3,0:11.14
48,1786303038.278741,200256,136.6,0:11.38
49,1786303038.459450,200336,135.7,0:11.62
50,1786303038.628627,200464,131.7,0:11.88
51,1786303038.780632,200576,154.0,0:12.15
52,1786303038.937102,200752,165.5,0:12.45
53,1786303039.085409,200944,173.4,0:12.73
54,1786303039.243251,201056,179.5,0:13.02
55,1786303039.399166,201296,183.7,0:13.32
56,1786303039.563179,201584,193.1,0:13.64
57,1786303039.729185,201744,180.5,0:13.87
58,1786303039.910288,201952,163.3,0:14.14
59,1786303040.082660,202288,150.8,0:14.37
60,1786303040.279972,202512,139.7,0:14.60
61,1786303040.438324,202752,132.9,0:14.85
62,1786303040.599194,202992,148.4,0:15.14
63,1786303040.756294,203296,157.7,0:15.42
64,1786303040.912732,203472,176.5,0:15.72
65,1786303041.079285,203728,186.3,0:16.04
66,1786303041.244520,204128,179.8,0:16.32
67,1786303041.414174,204384,172.6,0:16.58
68,1786303041.579905,204688,161.0,0:16.82
69,1786303041.759034,204992,146.8,0:17.05
70,1786303041.934420,205136,134.3,0:17.26
71,1786303042.092720,205360,139.2,0:17.55
72,1786303042.243570,205616,155.6,0:17.83
73,1786303042.400607,205824,174.3,0:18.12
74,1786303042.557622,206096,180.4,0:18.39
75,1786303042.724583,206352,170.5,0:18.66
76,1786303042.882784,206592,167.9,0:18.94
77,1786303043.065799,206880,174.5,0:19.21
78,1786303043.258451,207088,158.7,0:19.48
