sample,epoch_seconds,rss_kb,cpu_percent,cpu_time
0,1786303431.859273,171152,54.7,0:02.62
1,1786303432.009914,171152,34.8,0:02.62
2,1786303432.149836,171152,22.2,0:02.63
3,1786303432.292020,171152,15.0,0:02.63
4,1786303432.444370,171152,6.5,0:02.63
5,1786303432.596746,171152,4.0,0:02.63
6,1786303432.737110,171152,2.4,0:02.63
7,1786303432.877752,171472,1.4,0:02.65
8,1786303433.026779,171472,6.8,0:02.65
9,1786303433.177638,171920,4.5,0:02.66
10,1786303433.323157,174064,33.7,0:02.76
11,1786303433.465335,174592,27.6,0:02.81
12,1786303433.631556,180096,72.5,0:03.06
13,1786303433.781155,180400,102.1,0:03.17
14,1786303433.922761,180784,69.0,0:03.18
15,1786303434.065176,180784,27.6,0:03.18
16,1786303434.212323,180784,17.8,0:03.19
17,1786303434.351490,180784,11.5,0:03.19
18,1786303434.495111,180784,7.8,0:03.19
19,1786303434.639087,181056,15.1,0:03.26
20,1786303434.772995,181056,20.6,0:03.27
21,1786303434.905666,181056,15.5,0:03.28
22,1786303435.035670,181088,12.2,0:03.29
23,1786303435.175443,181056,13.0,0:03.31
24,1786303435.315986,181056,8.7,0:03.32
25,1786303435.450997,181056,5.4,0:03.32
26,1786303435.596992,181104,15.6,0:03.43
27,1786303435.747633,181296,87.3,0:03.73
28,1786303435.899084,181472,128.5,0:04.01
29,1786303436.070365,181776,147.5,0:04.25
30,1786303436.259367,182064,127.0,0:04.42
31,1786303436.452536,182416,115.1,0:04.62
32,1786303436.783103,182560,73.9,0:04.66
33,1786303437.100318,182560,22.2,0:04.69
34,1786303437.571645,182656,19.0,0:04.74
35,1786303437.835958,182688,8.4,0:04.80
36,1786303437.990547,183056,69.8,0:05.09
37,1786303438.143540,183376,111.5,0:05.36
38,1786303438.295859,183616,160.8,0:05.66
39,1786303438.443636,183872,165.4,0:05.92
40,1786303438.592355,184320,168.6,0:06.20
41,1786303438.738691,184720,182.4,0:06.48
42,1786303438.888320,184912,187.7,0:06.78
43,1786303439.030562,185104,192.7,0:07.07
44,1786303439.170658,185504,195.7,0:07.35
45,1786303439.307570,185888,197.8,0:07.65
46,1786303439.446519,186304,205.4,0:07.93
47,1786303439.581404,186768,200.5,0:08.21
48,1786303439.720125,187184,205.0,0:08.48
49,1786303439.869321,187808,210.0,0:08.81
50,1786303440.011696,188144,212.2,0:09.12
51,1786303440.163229,188640,213.2,0:09.44
52,1786303440.308022,189072,211.8,0:09.76
53,1786303440.449801,189504,214.4,0:10.06
54,1786303440.591745,189920,213.6,0:10.37
55,1786303440.739248,190336,211.7,0:10.66
56,1786303440.881227,190736,209.3,0:10.95
57,1786303441.032249,190992,203.9,0:11.22
58,1786303441.176911,191264,186.4,0:11.46
59,1786303441.338170,191584,180.4,0:11.66
60,1786303441.554789,191792,139.5,0:11.86
61,1786303441.706169,192208,141.1,0:12.19
62,1786303441.849791,192448,158.4,0:12.44
63,1786303442.013317,192768,171.6,0:12.72
64,1786303442.163091,193200,180.2,0:13.05
65,1786303442.315241,193488,185.4,0:13.31
66,1786303442.462724,193872,178.7,0:13.59
67,1786303442.610836,194192,186.1,0:13.87
68,1786303442.759707,194512,186.0,0:14.15
69,1786303442.907031,194832,184.1,0:14.43
70,1786303443.058727,195152,188.3,0:14.71
71,1786303443.211780,195488,186.6,0:15.01
72,1786303443.361710,195856,194.4,0:15.31
73,1786303443.514164,196176,197.2,0:15.61
74,1786303443.656179,196512,197.2,0:15.90
75,1786303443.807995,196800,195.6,0:16.18
76,1786303443.955465,197216,189.4,0:16.45
77,1786303444.106917,197536,191.3,0:16.75
78,1786303444.252388,197888,194.4,0:17.04
79,1786303444.394488,198256,198.3,0:17.34
80,1786303444.539118,198592,205.8,0:17.64
81,1786303444.684031,199024,207.9,0:17.95
82,1786303444.834177,199376,210.7,0:18.27
83,1786303444.982546,202224,195.1,0:18.52
84,1786303445.119053,202688,162.0,0:18.66
85,1786303445.258737,202912,138.1,0:18.81
86,1786303445.395900,203040,122.9,0:18.94
87,1786303445.537752,203248,114.5,0:19.08
88,1786303445.675258,203376,107.4,0:19.22
89,1786303445.807287,203536,105.7,0:19.36
90,1786303445.937131,203728,105.0,0:19.49
91,1786303446.068662,203840,102.1,0:19.62
92,1786303446.196479,203888,101.6,0:19.75
93,1786303446.332894,203920,98.5,0:19.88
94,1786303446.461260,204032,98.9,0:20.01
95,1786303446.600407,204128,100.0,0:20.15
96,1786303446.735027,204304,100.0,0:20.28
97,1786303446.874006,204480,100.0,0:20.42
98,1786303447.015819,204624,100.0,0:20.56
99,1786303447.146092,204672,100.0,0:20.69
100,1786303447.281640,204912,100.0,0:20.83
101,1786303447.411710,204992,98.8,0:20.96
102,1786303447.544472,205168,99.1,0:21.09
103,1786303447.676491,205248,99.3,0:21.23
104,1786303447.811958,205296,100.0,0:21.36
105,1786303447.950653,205408,100.0,0:21.50
106,1786303448.081475,205456,98.7,0:21.63
107,1786303448.221174,205616,100.0,0:21.77
108,1786303448.358514,205744,99.6,0:21.91
109,1786303448.494632,205824,99.0,0:22.04
110,1786303448.630542,205984,100.0,0:22.18
111,1786303448.762428,206176,100.0,0:22.31
112,1786303448.902557,206304,99.1,0:22.45
113,1786303449.039501,206480,99.7,0:22.59
114,1786303449.173485,206640,99.9,0:22.72
115,1786303449.317400,206864,100.0,0:22.86
116,1786303449.452398,207040,100.0,0:23.00
117,1786303449.590062,207328,98.4,0:23.14
118,1786303449.723816,207456,99.4,0:23.27
119,1786303449.858743,207648,99.4,0:23.41
120,1786303449.994729,207792,100.0,0:23.54
121,1786303450.132060,207680,99.4,0:23.68
122,1786303450.258242,207776,100.0,0:23.81
123,1786303450.394543,208016,100.0,0:23.94
124,1786303450.525361,208144,99.5,0:24.08
125,1786303450.661603,208320,100.0,0:24.21
126,1786303450.797025,208448,100.0,0:24.35
127,1786303450.932481,208608,98.1,0:24.48
128,1786303451.064247,208752,100.0,0:24.61
129,1786303451.205076,208912,100.0,0:24.75
130,1786303451.340373,209024,99.1,0:24.89
131,1786303451.478484,209184,98.2,0:25.02
132,1786303451.616666,209328,100.0,0:25.16
133,1786303451.751122,209552,100.0,0:25.30
134,1786303451.888451,209648,98.9,0:25.43
135,1786303452.029356,209824,99.3,0:25.57
136,1786303452.163914,209936,100.0,0:25.71
137,1786303452.305299,210080,98.3,0:25.85
138,1786303452.443749,210256,100.0,0:25.99
139,1786303452.579726,210448,100.0,0:26.13
140,1786303452.710453,210544,98.7,0:26.26
141,1786303452.847509,210688,100.0,0:26.39
142,1786303452.980666,210784,100.0,0:26.53
143,1786303453.118162,210928,99.9,0:26.66
144,1786303453.252169,211072,100.0,0:26.80
145,1786303453.388203,211200,99.3,0:26.93
146,1786303453.517781,211408,98.5,0:27.06
147,1786303453.655873,211504,100.0,0:27.20
148,1786303453.787672,211632,100.0,0:27.33
149,1786303453.928831,211808,100.0,0:27.47
150,1786303454.070456,211984,99.1,0:27.61
151,1786303454.211279,212096,98.6,0:27.75
152,1786303454.347515,212272,99.9,0:27.89
153,1786303454.473917,212432,100.0,0:28.02
154,1786303454.606856,212528,100.0,0:28.15
155,1786303454.736255,212688,99.3,0:28.28
156,1786303454.873310,212832,100.0,0:28.42
157,1786303455.016038,212960,100.0,0:28.56
158,1786303455.154598,213200,99.2,0:28.70
159,1786303455.296699,213312,100.0,0:28.84
160,1786303455.437605,213440,98.2,0:28.98
161,1786303455.578772,213616,100.0,0:29.12
162,1786303455.715237,213792,100.0,0:29.26
163,1786303455.842292,213968,98.1,0:29.39
164,1786303455.982580,214096,100.0,0:29.52
165,1786303456.117147,214208,100.0,0:29.65
166,1786303456.256949,214400,98.1,0:29.80
167,1786303456.388587,214496,99.7,0:29.93
168,1786303456.514527,214624,98.8,0:30.06
169,1786303456.648042,214704,100.0,0:30.19
170,1786303456.781765,214864,99.6,0:30.33
171,1786303456.921249,215008,100.0,0:30.46
172,1786303457.062621,215136,100.0,0:30.60
173,1786303457.200231,215296,99.4,0:30.74
174,1786303457.338364,215408,100.0,0:30.88
175,1786303457.470713,215568,100.0,0:31.01
176,1786303457.612228,215728,100.0,0:31.15
177,1786303457.749040,215824,98.8,0:31.29
178,1786303457.879221,216000,99.4,0:31.42
179,1786303458.010103,216096,100.0,0:31.55
180,1786303458.150023,216288,99.3,0:31.69
181,1786303458.278164,216416,99.7,0:31.82
182,1786303458.415321,216592,99.5,0:31.96
183,1786303458.552723,216736,99.1,0:32.10
184,1786303458.688014,216912,100.0,0:32.23
185,1786303458.824949,217024,100.0,0:32.37
186,1786303458.962700,217232,99.1,0:32.50
187,1786303459.104652,217360,99.0,0:32.64
188,1786303459.241296,217568,99.9,0:32.78
189,1786303459.377627,217696,100.0,0:32.92
190,1786303459.512186,217872,100.0,0:33.05
191,1786303459.636714,218000,100.0,0:33.18
192,1786303459.772003,218080,99.9,0:33.31
193,1786303459.911411,218208,99.9,0:33.45
194,1786303460.042608,218288,99.1,0:33.58
195,1786303460.181155,218400,100.0,0:33.72
196,1786303460.320699,218544,100.0,0:33.86
197,1786303460.459976,218704,99.0,0:34.00
198,1786303460.593189,218896,98.7,0:34.13
199,1786303460.729386,219088,99.2,0:34.27
200,1786303460.865553,219232,100.0,0:34.40
201,1786303461.003255,219392,100.0,0:34.54
202,1786303461.139092,219536,99.8,0:34.68
203,1786303461.275581,219680,100.0,0:34.82
204,1786303461.411458,223968,99.9,0:34.95
205,1786303461.540686,224128,99.0,0:35.08
206,1786303461.671376,224336,100.0,0:35.21
207,1786303461.808432,224496,100.0,0:35.35
208,1786303461.945314,224704,99.0,0:35.48
209,1786303462.082902,224912,100.0,0:35.62
210,1786303462.220314,225136,100.0,0:35.76
211,1786303462.358404,225360,99.3,0:35.90
212,1786303462.495180,225472,99.1,0:36.03
213,1786303462.624351,225664,99.1,0:36.17
214,1786303462.757792,225888,99.0,0:36.30
215,1786303462.890476,226000,100.0,0:36.43
216,1786303463.027057,226128,100.0,0:36.57
217,1786303463.160253,226336,100.0,0:36.70
218,1786303463.294764,226608,98.0,0:36.83
219,1786303463.428927,226800,100.0,0:36.97
220,1786303463.560463,227008,98.8,0:37.10
221,1786303463.689564,227152,99.9,0:37.23
222,1786303463.815541,227296,99.0,0:37.36
223,1786303463.945643,227488,100.0,0:37.48
224,1786303464.084696,227616,99.7,0:37.62
225,1786303464.219656,227776,100.0,0:37.76
226,1786303464.354955,227904,100.0,0:37.90
227,1786303464.486701,228208,98.0,0:38.03
228,1786303464.622403,228400,100.0,0:38.16
229,1786303464.751259,228528,100.0,0:38.29
230,1786303464.890439,228736,100.0,0:38.43
231,1786303465.030513,228864,99.1,0:38.57
232,1786303465.170675,229056,100.0,0:38.71
233,1786303465.307668,229248,100.0,0:38.85
234,1786303465.446019,229472,98.9,0:38.98
235,1786303465.576021,229632,100.0,0:39.12
236,1786303465.707093,229856,100.0,0:39.25
237,1786303465.844861,230128,100.0,0:39.38
238,1786303465.984601,230320,98.8,0:39.52
239,1786303466.114120,230496,98.8,0:39.65
240,1786303466.251340,230672,100.0,0:39.79
241,1786303466.385172,230880,99.7,0:39.92
242,1786303466.523128,230992,100.0,0:40.06
243,1786303466.659366,231232,100.0,0:40.20
244,1786303466.795150,231360,98.7,0:40.33
245,1786303466.928284,231392,98.5,0:40.46
246,1786303467.067867,231392,99.1,0:40.60
247,1786303467.195810,231392,99.9,0:40.73
248,1786303467.321119,231392,98.9,0:40.86
249,1786303467.455834,231392,99.1,0:40.99
250,1786303467.589637,231968,99.6,0:41.13
251,1786303467.714086,233344,100.0,0:41.25
252,1786303467.850337,234832,99.3,0:41.39
253,1786303467.981099,236240,100.5,0:41.51
254,1786303468.112875,237728,100.3,0:41.65
255,1786303468.247184,239152,99.8,0:41.78
256,1786303468.396074,240576,99.3,0:41.92
257,1786303468.530186,241968,95.3,0:42.05
258,1786303468.670443,243328,97.5,0:42.19
259,1786303468.819124,231712,94.3,0:42.31
260,1786303468.965076,231824,77.4,0:42.36
